id,identidad autopercibida,texto,predicciones_chatgpt
964,Obrera,se trabaja para otros,trabajo
242,Obrera,porque trabajo para tener lo que tengo,trabajo
7,Media,"porque tuve suerte de que no me faltara nada, estudie en la escuela de primer nivel y a la universidad que me permitió conseguir un buen trabajo","estudio, trabajo"
269,Media,"PORQUE NO CREO QUE SEA DE UNA CLASE BAJA NI TAMPOCO ALTA, UNO LO MIDE POR EL TEMA ECONÓMICO, PODES VIVIR CON LO JUSTO Y NECESARIO","clase baja, clase alta, tema económico"
946,Obrera,PORQUE SIEMPRE TRBAAJO Y LO QUE TIENEN LO HICIERON TRABAJANDO DURO,trabajo
64,Media,"PORQUE TENGO UN DETERMINADO NIVEL DE EDUCACIÓN, UN NIVEL ECONÓMICO ADECUADO A LO QUE NECESITO. NO PASO HAMBRE","educación, ingresos, necesidades básicas (hambre)"
923,Obrera,porque trabajo,trabajo
284,Media,por los ingresos que tiene y por como vive,"ingresos, vivienda"
922,Media,"porque tenemos una entrada de dinero, no somos ricos pero se puede comer","ingresos, comida"
241,Baja,"no gano mucho, lo justo para vivir y hasta ahí",ingresos
442,Obrera,sí o sí tienen que trabajar,trabajo
374,Media,"NIVEL DE INGRESO, NIVEL EDUCATIVO","ingresos, educación"
761,Media,PORQUE VIVO MAS O MENOS BIEN. CLASE MEDIA BAJA,ingresos
630,Media,POR EL SUELDO Y LA EDUCACIÓN,"ingresos, educación"
654,Media alta,POR EL TRABAJO QUE HACE Y EL AHORRO QUE TIENE,"trabajo, ahorro"
731,Media,puede darse los gustos hoy en día,"gustos, ingresos, consumo"
762,Media,POR MI PODER ADQUISITIVO,ingresos
925,Obrera,porque todo lo que hago es trabajar,trabajo
952,Baja,"YO ESTUVE SIEMPRE POR CAPITAL, SE NOTA LA DIFERENCIA, ME FALTABAN MUCHAS COSAS","capital, diferencias, necesidades"
813,Media,porque trabajo y estoy bien,trabajo
637,Obrera,porque trabja y otra cosa no hace,trabajo
550,Media,"LO MAS SIMPLO, LO FUNDAMENTAL",ninguno mencionado
1034,Obrera,se la pasa trabajando para poder vivir y mantener a su familia,"trabajo, familia"
940,Media,NIVEL DE INGRESO,ingresos
693,Obrera,porque trabajo y su ganancia no es mucha,"trabajo, ingresos"
40,Media,porque me inculcaron que pertenecía a esa clase social,"cultura, educación"
475,Media,"PORQUE CREEMOS QUE NO ESTAMOS TAN MAL, LABURAMOS COMO PERROS, MAS DE 12H POR DIA",trabajo
833,Obrera,porque yo siempre trabajo,trabajo
66,Media,porque desde el punto de vista económico tengo una renta que me caracteriza y tengo una conciencia de la clase y la condición social que tengo como clase.se reconoce como burguesía nacional / clase media con conciencia de clase,"económico, renta, clase, conciencia de clase, burguesía nacional, clase media"
271,Media alta,por el nivel de educación e ingresos,"educación, ingresos"
674,Media,porque trabajo mucho para conseguir lo que tenemos,trabajo
843,Media,porque siempre tuvo trabajo y construyó sus casas.nunca vivió en una villa o pensión,"trabajo, vivienda"
595,Obrera,porque vivo y viví siempre de mi trabajo,trabajo
152,Obrera,PORQUE SIEMPRE NECESITE TRABAJAR PARA MANTENERME,trabajo
351,Obrera,PORQUE TRABAJO,trabajo
470,Media,está dentro,"-
---"
362,Obrera,PORQUE VIVIMOS DE NUESTRO TRABAJO,trabajo
457,Obrera,"si no trabaja no vive, vive de lo que gana","trabajo, ingresos"
363,Obrera,"POR LA SITUACION QUE VIVO, ESTAMOS CON EL DIA A DIA, HAY RECURSOS QUE NO TENGO","situación, recursos"
198,Media,porque trabajo,trabajo
648,Media,por la situación en que vive,situación de vida
343,Media,"PORQUE NO SOY NI MUY RICO NI MUY POBRE, SUFRO TODOS LOS GOBIERNOS",ingresos
1007,Obrera,ECONÓMICAMENTE TIENE TRABAJA Y SOBREVIVE CON SU SUELDO,"trabajo, ingresos"
202,Baja,PORQUE TIENE POCOS INGRESOS,ingresos
218,Media,"porque ya tiene su techo, sino fuera así estaría en la clase baja,tiene un buen trabajo, vivie sin apuros","trabajo, vivienda, clase baja"
791,Media,PORQUE ME MANTENGO CON EL TRABAJO,trabajo
324,Baja,PORQUE ME LA PASO TRABAJANDO,trabajo
187,Media,"porque tengo acceso a bienes y servicios acordes a la clase media: salud, educación, vacaciones, todo de término medio","clase media, salud, educación, vacaciones"
896,Media,porque no considero que tenga suficientes recursos para llegar a más que eso,"recursos, ingresos"
986,Obrera,yo soy un simple trabajador,trabajo
1014,Baja,"porque primero no tengo terreno, no consigo trabajo","trabajo, vivienda"
71,Media,"tengo un status de vida bueno, no solo no podemos crecer sino que intentamos no caernos, no tenemos chances de ascenso social","status de vida, ascenso social"
873,Baja,porque soy una persona trabajadora.vivo de lo que ingresa desde mi propio esfuerzo.cuesta muchísimo,trabajo
223,Media,tengo la posibilidad de pagar un alquiler y tener una posibilidad de vida que me poermite acceder a varias cosas,"vivienda, calidad de vida"
1126,Media,está en el medio de los ricos y los pobres,ingresos
80,Media,porque no soy rica ni pobre y vivo más o menos con las comodidades resueltas,"ingresos, vivienda, comodidades"
